,x,y,z
113,-18.285473,11.047944,-7.6882777
114,-18.350245,1.723268,-5.3351274
115,-14.712082,-4.2354903,12.881731
116,-28.279352,11.425712,-4.8730435
117,-12.997263,2.8283122,12.78648
118,0.15501879,5.3239913,-14.027196
119,-18.05746,3.3654022,17.394012
120,-23.125935,-2.7603796,-16.058657
121,-12.362722,3.303528,15.718124
122,-10.182641,-0.8301968,-20.650957
123,-19.159395,7.6386995,1.2531878
124,-28.701378,1.8462068,-16.319841
125,-19.85423,-2.2687142,0.96928096
126,18.638071,7.847098,-17.547966
127,-3.4282787,4.1162853,-17.94911
128,9.169116,13.585253,-16.841015
129,3.722254,2.4065993,9.37592
130,5.763705,-8.614812,-11.705717
131,-25.516752,-0.7170479,-15.835378
132,-16.985947,-11.266158,-8.391408
133,-5.276194,-10.118245,2.2858207
134,-14.387584,8.909311,6.5307446
135,-22.313519,8.054074,5.679309
136,-14.192378,-5.2499228,-19.632421
137,-31.680025,5.8053317,-13.443573
138,9.163072,11.073933,10.814541
139,20.496592,10.337606,-4.3959613
140,-14.186228,-8.160515,3.343416
141,2.920268,5.781655,21.181194
142,-31.357695,-3.4658465,-12.74078
143,-24.461302,1.1365975,-12.561915
144,-11.535374,-7.5851703,-3.9008234
145,-8.703615,-0.5128864,-19.226871
146,-22.22875,5.2490435,-17.90124
147,-15.789646,6.16061,-20.340225
148,-13.393492,2.8389704,-23.50926
149,-6.878819,-9.226151,1.8295482
150,-19.459908,3.8608284,-10.899133
151,-22.028955,0.60028684,-1.9690626
152,28.091719,-2.8674498,12.102492
153,-11.5452385,-8.838679,-3.4997475
154,-0.5931322,6.6011767,-10.941049
155,-3.884325,-1.6748351,13.101559
156,-23.092075,3.2740812,-10.662655
157,-11.799917,-5.8251815,9.656823
158,-25.011415,11.360166,9.580313
159,-24.720758,15.845642,1.9928522
160,-5.2939405,-16.894049,-3.2745173
161,-29.551054,6.305139,-10.986208
162,-23.404675,-10.932054,-5.5691786
163,1.6217276,-0.23314463,-9.5290365
164,10.738232,10.433359,17.012487
165,18.624214,-2.0854661,11.819003
166,-19.513258,-17.02302,3.4426205
167,-0.58467036,7.6175294,8.878414
168,-20.906574,-0.00084267114,-8.045706
169,-13.951027,-3.5299733,-4.2692127
170,-3.71579,-17.7798,-6.742096
171,-27.242409,6.5767884,-3.2522237
172,-5.1694255,-2.8119934,13.5970125
173,10.384548,-10.618271,10.871043
174,-12.926265,-1.072438,11.020089
175,-25.043123,11.445352,9.712853
176,-34.176487,1.2941856,-10.603371
177,-13.95354,-3.5012968,-4.254504
178,20.29945,-0.35704803,-7.3732033
179,17.860369,-8.971115,12.039447
180,-17.13179,-11.313442,2.5083628
181,11.67615,10.017662,-4.338034
182,-3.349344,8.483072,-13.971827
183,-14.979955,3.2961974,-1.2949396
184,2.61175,12.375895,10.679021
185,-10.74167,7.4999814,-22.272058
186,0.082262054,18.665615,3.8518279
187,-16.4887,-4.048351,14.323532
188,18.696123,13.296827,-7.4034944
189,-25.489126,11.176005,1.5200698
190,-24.924074,-0.87937933,-19.40724
191,30.760036,-4.608432,-2.3162193
192,2.4809165,-6.9017487,13.188163
193,-24.672583,-1.0459273,-18.855873
194,-15.1592455,-1.0555221,-23.245392
195,12.323339,0.9315383,-7.6570606
196,-4.2485986,-0.32181194,14.217475
197,-3.6193812,1.0561838,-25.066225
198,23.891851,4.604862,-6.7710986
199,-23.720383,9.008366,13.162252
200,8.88937,6.610326,-4.1749196
201,7.161456,-22.189686,-5.4615107
202,-26.977734,5.5408163,-16.305912
203,-1.5513276,17.226175,-4.2706122
204,24.634962,-5.74604,-14.602868
205,14.077118,14.799734,-7.5721793
206,19.72048,-3.7969527,-10.384571
207,-5.7510486,-6.9688888,-5.7530823
208,-28.81629,0.8533034,-17.818077
209,9.166505,13.207566,-4.7043962
210,25.27851,11.104073,-5.950708
211,6.0715613,-1.4453781,-17.711214
