,x,y,z
119,19.609945,11.774196,-0.012331163
120,8.258554,1.3060458,-25.315533
121,10.469416,-0.90519637,-28.33169
122,5.4119754,-3.9649894,-5.3847785
123,12.933394,3.8068306,-13.16046
124,26.672949,5.8113437,3.2578075
125,-19.962574,8.4893465,-15.054072
126,8.943345,17.303001,-4.501315
127,-4.3527603,8.881075,-24.167213
128,1.6965992,-10.531279,-11.485372
129,-0.21096346,5.879007,8.5499115
130,-14.043234,-16.37022,-9.90036
131,1.1056743,7.230217,-16.96658
132,-9.256782,-0.3257165,-21.693304
133,0.08253384,-5.5274067,-1.3411547
134,5.5498304,-4.6306977,9.695221
135,10.86813,-1.113984,-27.65233
136,-11.91317,9.244527,0.020022392
137,26.109568,4.9130616,1.7730997
138,14.884194,6.5797663,-5.136626
139,5.648241,0.66978276,20.128344
140,5.7208133,-12.9522705,-11.473378
141,-13.702228,11.221153,-12.824031
142,27.977882,3.1597826,-1.9014074
143,24.442606,-7.2704353,-8.972221
144,9.802504,-2.9675293,-28.6755
145,5.034667,17.98689,-4.395594
146,4.206912,-5.903915,-19.430075
147,-6.9838777,-0.36717397,-12.040183
148,12.957027,-2.6103718,-14.164056
149,13.841503,4.6201215,-5.087283
150,-16.829927,-14.808339,-10.232834
151,5.520539,-10.256801,-8.148547
152,7.7003856,-2.044333,-26.486437
153,-10.019026,3.6142402,-25.25565
154,3.0446703,-11.628763,-10.822927
155,12.725853,8.876053,-19.559792
156,-2.8742182,8.29615,-22.57152
157,2.7018452,-12.516455,-14.62052
158,-16.795235,-13.5262575,-10.603039
159,4.497347,-5.2674613,-8.605636
160,0.4118613,9.432479,-19.744081
161,13.105709,-5.4565196,-13.899289
162,4.3262744,-5.917063,-19.19123
163,-3.615096,19.898872,-10.432791
164,15.902645,0.75825924,-2.41437
165,-2.0010996,16.517332,2.3506577
166,2.1039343,-7.7124686,-28.069609
167,7.6476293,-6.473143,7.4950104
168,27.483517,3.1380746,-2.6234345
169,-18.156855,7.509638,-13.890899
170,-10.224059,2.0188606,-24.626085
171,15.113718,-4.463845,-11.226788
172,5.624345,18.482933,-4.1910763
173,-5.706814,-8.454134,-13.989807
174,13.613836,-1.7441057,-13.66135
175,20.944824,-5.8904715,-0.09370382
176,-15.149301,-9.912381,-10.818321
177,-6.748769,-10.504757,-12.179115
178,-19.954947,10.434663,12.87312
179,-4.808703,0.10418589,-10.898128
180,9.966221,1.0623786,-28.2034
181,-22.882141,0.40718254,-11.355348
182,-5.334108,8.383361,-23.844633
183,22.251835,-8.370611,8.504563
184,12.3421545,9.274647,-19.899141
185,-5.301816,9.032165,-23.969637
186,5.3315697,-12.782022,-13.04478
187,12.312409,9.314449,-19.857119
188,16.565676,-9.151777,-11.979918
189,-3.202158,-17.373398,-4.468777
190,-16.76448,10.2156,-14.629382
191,-9.278588,-13.788525,1.8484502
192,14.723138,-4.6446624,-2.6284077
193,19.226238,10.745176,-0.5628092
194,23.300386,-8.246536,-9.31036
195,-19.464361,8.7753935,-15.082813
196,-23.708277,-3.8332388,1.3933064
197,4.480739,-2.4729764,-18.818144
198,-5.368776,17.581625,-9.044578
199,-11.280311,11.40213,22.811853
200,-12.070888,-19.20063,8.760374
201,-8.31776,18.380974,-8.62805
202,-20.48504,9.344563,12.797313
203,1.8042867,1.4017067,-8.955996
204,13.028886,-2.2368724,-13.817179
205,-5.4207344,1.553061,-11.222122
206,27.164625,1.8217951,-3.073865
207,-2.7903895,-17.040016,-4.183671
208,-7.3664427,7.4198833,-24.684483
209,21.500544,-10.064629,10.187889
210,10.534603,-11.132491,17.946014
211,-6.5532427,20.053438,-9.795115
212,6.9104595,20.167189,-4.494039
213,0.080544576,17.799587,3.1010818
214,12.476102,1.2264271,-12.688431
215,13.861622,-4.0743294,-2.9111667
216,-2.2694545,-4.017897,17.386408
217,19.88745,15.612223,0.1698001
218,5.0001373,-12.2620325,-14.1238785
219,-11.735555,11.240866,-9.871299
220,27.025713,-2.616936,-7.4768896
221,-20.532469,11.513894,0.34179485
222,-23.148655,0.678674,-11.563398
223,18.45574,-13.696468,9.960595
224,6.214784,1.6207097,20.138248
225,4.184029,-17.252897,16.402248
