,x,y,z
329,-0.81905913,16.192055,21.994606
330,6.2426167,1.7262163,17.619972
331,34.822926,0.6004355,1.768163
332,-21.001242,4.37893,6.0632205
333,8.132209,19.376757,9.669094
334,-24.896208,14.879205,3.2003946
335,7.8903027,0.8230074,18.743954
336,18.667772,19.727789,9.964253
337,32.180767,6.6870575,6.3689175
338,10.828626,2.13146,-1.8643543
339,16.108232,8.1703,-21.40261
340,1.970881,-8.50004,-3.659084
341,21.291628,7.940539,-6.1659417
342,9.36743,-5.242598,-7.911072
343,24.277458,9.121607,-5.179044
344,9.013198,13.777604,-3.008173
345,7.7558484,21.18931,14.410693
346,15.020401,16.792171,1.5605892
347,-17.38328,8.616075,8.632993
348,3.0414,9.231841,6.1345606
349,28.624805,9.988377,-6.9648423
350,20.004438,16.847073,4.7810388
351,28.47519,3.4309518,7.3534455
352,5.499153,-23.797688,1.769223
353,-27.635622,-9.173488,6.042368
354,2.9493427,2.545483,-5.805858
355,21.02489,2.7462783,-6.105681
356,17.145693,17.300406,-5.0754933
357,15.244427,-12.620972,-1.2037575
358,8.629921,-17.877121,-4.5833116
359,12.084319,11.020011,-1.3954868
360,17.00757,0.66998374,4.9158664
361,14.827279,5.5258474,4.69093
362,-9.418491,14.21852,4.719692
363,6.770959,19.936708,-11.954256
364,-17.157335,14.712358,2.2216737
365,-3.8989103,10.83231,7.873789
366,-21.869612,16.513828,3.7716708
367,16.234236,15.685766,3.4669702
368,5.5105095,1.4127532,12.653642
369,15.310274,4.664174,-5.6383476
370,-2.3111708,8.746557,2.6215115
371,9.373488,-8.866081,-8.689871
372,-7.0801597,4.9695272,-9.692718
373,30.802177,-5.485019,-2.2350888
374,19.539717,-3.308903,-8.06538
375,-22.322803,-11.599687,-6.237428
376,4.0443316,17.310652,17.425236
377,21.670725,-4.011893,-10.472467
378,-21.535463,7.0584817,-0.7372949
379,-23.757717,11.580659,3.5665224
380,-0.32717368,10.000529,21.57823
381,6.543297,20.797916,1.8126494
382,-21.418613,18.967478,-5.220691
383,17.836422,20.44221,-0.77233565
384,-10.792847,4.413056,22.116064
385,-4.885248,18.014576,5.721552
386,-2.971458,18.935059,20.63425
387,-20.9822,0.7414872,3.2640324
388,-10.673192,7.0355062,18.805311
389,-28.532978,-0.07601205,11.715575
390,8.569758,6.389565,-10.877769
391,-9.343626,13.857792,-2.4514627
392,-24.57668,15.744766,6.6468544
393,-11.623246,3.1907833,17.86537
394,-27.0944,6.63284,11.358592
395,19.178694,-3.7215884,-8.139732
396,-6.563949,19.296537,-6.1230373
397,13.085116,1.6644768,-8.245661
398,11.314458,19.509403,1.7812662
399,-24.511776,5.298735,0.68355006
400,-17.823862,19.661736,6.5356727
401,-30.036459,12.5697565,2.5920925
402,-2.3376353,23.125698,16.284456
403,32.44347,-10.985855,-6.6521087
404,-19.47885,14.567701,-6.5695634
405,-18.912443,14.160464,-7.6686463
406,-3.7076018,0.38087276,4.781388
407,7.010987,26.085861,14.828361
408,2.3232625,2.6201541,2.6249745
409,1.687829,-13.611853,17.412369
410,1.7678938,-4.9352303,-1.7033838
411,-28.167894,8.797237,-4.2612348
412,10.763956,12.513597,-9.611669
413,11.509687,9.033415,9.173601
414,-1.2309096,21.462633,20.717022
415,-5.8947663,22.493961,9.3278885
416,-10.961488,23.830347,-4.087032
417,-20.58519,19.125565,-0.47321764
418,-18.216866,-9.053461,-15.056839
419,-8.530098,20.243807,5.948985
420,-5.9074144,23.47517,-5.194379
421,4.2935233,-18.294353,15.910361
422,3.0284414,9.858821,-19.861176
423,-2.4279838,-7.752532,21.921694
424,-6.5877767,20.572607,-4.285791
425,3.5114243,1.3830743,-1.5927703
426,7.891305,-10.990246,16.313581
427,3.8861222,9.56021,-1.8782856
428,-21.241835,-1.5133098,4.7127523
429,0.3070467,16.764439,17.456018
430,-0.43226078,16.837606,1.4636124
431,-15.496482,5.423936,-0.5640174
432,-12.797593,-6.8819427,-9.4617605
433,-17.110556,2.9779067,12.888494
434,-7.098821,10.0720005,-21.882046
435,15.379222,4.8545165,17.726866
436,-9.465588,-7.0605483,-15.912381
437,8.361747,21.947205,-5.084276
438,-6.550794,12.014409,-3.3555696
439,-8.3918705,8.325841,-22.091204
440,-24.790663,10.070485,6.530877
441,-23.316313,1.7632532,13.5162525
442,20.159357,-2.0227022,11.763126
443,-27.955536,13.399141,1.5564505
444,0.16516633,-6.903039,20.328686
445,-26.877691,14.664245,1.469171
446,-0.28253797,-26.025314,11.048919
447,-25.147722,0.5331342,5.8800693
448,-32.335625,6.791879,3.117633
449,3.6165402,25.477297,15.363773
450,-8.6309805,-21.840527,12.132224
451,1.4600655,27.585276,10.498349
452,12.427964,-10.662061,3.4164984
453,7.561773,17.823153,11.375131
454,-3.7030928,22.345879,-7.569902
455,-4.4324217,23.72071,-1.9966784
456,-3.0981004,8.905096,-17.349386
457,-20.55219,-9.64586,3.3807316
458,17.275038,6.1490574,-3.5937047
459,-10.958072,4.073223,22.438894
460,-3.2052853,18.725588,20.930744
461,-6.882988,14.502301,-1.7387933
462,-2.441347,21.449081,11.123223
463,8.845032,-6.8567457,21.04517
464,-22.222818,7.84213,2.678372
465,9.488548,17.58673,11.476741
466,1.8778539,15.694358,-15.760641
467,-2.0331774,8.5462885,18.231113
468,-15.895164,-6.563148,17.837307
469,5.761551,-6.4492497,12.966456
470,-12.700079,-22.540098,0.16742925
471,-6.828054,1.2621055,-14.992887
472,-22.71729,17.247503,-10.242707
473,-29.278128,5.637039,-0.050000656
474,-14.053048,-18.159403,-4.527644
475,4.924698,11.943376,1.3215467
476,6.2518697,12.466048,-20.004108
477,10.129311,9.157987,9.061579
478,32.805687,-11.700214,-6.959517
479,-15.545003,5.5785804,-0.5718365
480,-11.1453085,13.055641,8.487155
481,15.26943,-9.934221,-12.700689
482,-9.698722,20.843832,-3.853898
483,0.7638996,16.374464,5.0630736
484,-22.699152,-1.8547156,0.99380904
485,-4.6281266,22.702017,19.15133
486,10.863649,2.1392574,-1.7917749
